,Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date,Year,Liczba akcji,WK,Aktywa obrotowe,Zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Przychody ze sprzedaży na akcję,Zysk na akcję,Zysk operacyjny na akcję,Enterprise Value na akcję,EV / P,EV / EBIT,EV / EBITDA,C/ZO,C/WK,Cena / WK Grahama,C/P,C/Z,Close_pct,Open_pct,Max_pct,Min_pct
35,06MAGNA,PLN,2.855,3.24,2.85,3.23,244.87,05-01-2022,2022/Q1,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,32.3,1.6069651741293534,0.0005740181268882175,7.340909090909091,29.363636363636363,850.0,739.7058823529411,825.7142857142858,763.6363636363636
36,06MAGNA,PLN,1.61,1.75,1.58,1.69,266.6,07-01-2021,2021/Q1,13921975.0,1.75,15904.0,227.0,5930.0,0.56,0.05,0.16,2.83,5.03,17.71,12.7,10.5625,0.9657142857142856,0.00027448432678252397,3.0178571428571423,33.8,-47.6780185758514,-43.607705779334495,-45.98765432098766,-44.561403508771924
37,06MAGNA,PLN,0.22,0.23,0.22,0.23,17.06,04-01-2013,2013/Q1,13921975.0,0.3,56183.0,632.0,2430.0,2.66,-0.35,-0.18,3.45,1.3,-19.01,12.27,-1.277777777777778,0.7666666666666667,7.511430437622469e-05,0.08646616541353383,-0.6571428571428573,-86.3905325443787,-86.33540372670807,-86.85714285714286,-86.07594936708861
38,06MAGNA,PLN,0.21,0.21,0.2,0.21,0.8,07-01-2014,2014/Q1,13921975.0,4.09,31218.0,2102.0,3140.0,0.03,-1.22,-0.46,2.17,65.83,-4.72,-6.59,-0.45652173913043476,0.05134474327628362,4.006104540251812e-05,7.0,-0.1721311475409836,-8.695652173913048,-4.545454545454552,-8.695652173913048,-9.090909090909083
39,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,07-01-2020,2020/Q1,13921975.0,1.67,12476.0,2217.0,3785.0,0.35,0.29,0.32,0.16,0.45,0.48,0.42,0.625,0.11976047904191618,3.332222592469177e-05,0.5714285714285715,0.6896551724137931,-4.761904761904756,-100.0,-100.0,-100.0
40,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,04-01-2019,2019/Q1,13921975.0,1.4,3659.0,2325.0,5205.0,0.45,-0.36,-0.08,0.31,0.7,-3.72,-26.33,-2.5,0.14285714285714288,2.656042496679947e-05,0.4444444444444445,-0.5555555555555556,0.0,,,
41,06MAGNA,PLN,2.2,2.2,2.15,2.15,4.6,07-01-2015,2015/Q1,13921975.0,3.61,15195.0,230.0,5397.0,0.35,-0.48,-0.33,1.92,5.49,-5.76,-6.95,-6.515151515151515,0.5955678670360111,0.00038208636929091877,6.142857142857143,-4.479166666666667,974.9999999999998,inf,inf,inf
42,06MAGNA,PLN,0.43,0.43,0.42,0.42,26.4,05-01-2018,2018/Q1,13921975.0,1.84,8268.0,2022.0,6663.0,0.28,0.16,-0.09,0.25,0.9,-2.76,-9.09,-4.666666666666667,0.22826086956521738,4.835924006908463e-05,1.4999999999999998,2.625,-80.46511627906978,-80.45454545454545,-80.45454545454545,-80.46511627906978
43,06MAGNA,PLN,1.75,1.82,1.75,1.82,0.02,07-01-2016,2016/Q1,13921975.0,2.01,15376.0,2000.0,3400.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,18.2,0.9054726368159205,0.00033703703703703706,4.136363636363637,16.545454545454547,333.33333333333337,306.9767441860465,323.2558139534884,316.6666666666667
44,06MAGNA,PLN,0.68,0.71,0.67,0.71,117.26,04-01-2017,2017/Q1,13921975.0,1.64,7597.0,2020.0,5762.0,0.04,-1.88,-0.28,0.62,17.37,-2.21,-2.64,-2.535714285714285,0.4329268292682927,9.123618607041891e-05,17.75,-0.3776595744680851,-60.98901098901099,-61.142857142857146,-60.98901098901099,-61.71428571428571
45,06MAGNA,PLN,1.1,1.1,1.07,1.09,336.2,07-01-2010,2010/Q1,8673714.0,5.18,23043.0,9299.0,57690.0,18.69,-0.64,-0.08,14.46,0.77,-173.0,10.82,-13.625,0.21042471042471045,1.627132812849871e-05,0.05831995719636169,-1.703125,53.5211267605634,61.76470588235294,54.92957746478875,59.70149253731343
46,06MAGNA,PLN,0.78,0.81,0.78,0.8,176.59,07-01-2011,2011/Q1,8673714.0,2.48,53890.0,10116.0,66584.0,10.36,-2.87,-3.78,12.45,1.2,-3.29,-4.55,-0.21164021164021166,0.32258064516129037,1.0430247718383312e-05,0.07722007722007723,-0.2787456445993031,-26.60550458715596,-29.09090909090909,-26.363636363636367,-27.10280373831776
47,06MAGNA,PLN,0.34,0.35,0.33,0.33,47.51,05-01-2012,2012/Q1,8673714.0,2.46,93652.0,595.0,96754.0,8.49,0.09,0.06,8.99,1.06,154.12,12.26,5.500000000000001,0.13414634146341464,3.3898653298955305e-06,0.038869257950530034,3.666666666666667,-58.75,-56.41025641025641,-56.790123456790134,-57.692307692307686
48,06MAGNA,PLN,3.19,3.36,3.1,3.25,216.55,07-01-2022,2022/Q1,13921975.0,2.01,15195.0,230.0,5397.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,32.5,1.6169154228855722,0.0005775724186955749,7.386363636363637,29.545454545454547,884.8484848484848,838.235294117647,860.0,839.3939393939395
49,06MAGNA,PLN,1.71,1.88,1.71,1.84,409.43,08-01-2021,2021/Q1,13921975.0,1.75,15904.0,227.0,5930.0,0.56,0.05,0.16,2.83,5.03,17.71,12.7,11.5,1.0514285714285714,0.0002988468409939906,3.2857142857142856,36.8,-43.38461538461538,-46.39498432601881,-44.047619047619044,-44.83870967741935
50,06MAGNA,PLN,0.23,0.24,0.23,0.23,50.22,07-01-2013,2013/Q1,13921975.0,0.3,56183.0,632.0,2430.0,2.66,-0.35,-0.18,3.45,1.3,-19.01,12.27,-1.277777777777778,0.7666666666666667,7.511430437622469e-05,0.08646616541353383,-0.6571428571428573,-87.5,-86.54970760233918,-87.2340425531915,-86.54970760233918
51,06MAGNA,PLN,0.2,0.2,0.2,0.2,4.57,08-01-2014,2014/Q1,13921975.0,4.09,31218.0,2102.0,3140.0,0.03,-1.22,-0.46,2.17,65.83,-4.72,-6.59,-0.43478260869565216,0.0488997555012225,3.815337657382679e-05,6.666666666666667,-0.1639344262295082,-13.043478260869568,-13.043478260869568,-16.666666666666664,-13.043478260869568
52,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,08-01-2020,2020/Q1,13921975.0,1.67,12476.0,2217.0,3785.0,0.35,0.29,0.32,0.16,0.45,0.48,0.42,0.625,0.11976047904191618,3.332222592469177e-05,0.5714285714285715,0.6896551724137931,0.0,-100.0,-100.0,-100.0
53,06MAGNA,PLN,0.0,0.0,0.0,0.2,0.0,07-01-2019,2019/Q1,13921975.0,1.4,3659.0,2325.0,5205.0,0.45,-0.36,-0.08,0.31,0.7,-3.72,-26.33,-2.5,0.14285714285714288,2.656042496679947e-05,0.4444444444444445,-0.5555555555555556,0.0,,,
54,06MAGNA,PLN,2.18,2.2,2.15,2.16,4.9,08-01-2015,2015/Q1,13921975.0,3.61,15195.0,230.0,5397.0,0.35,-0.48,-0.33,1.92,5.49,-5.76,-6.95,-6.545454545454546,0.5983379501385042,0.0003838635151945975,6.171428571428573,-4.500000000000001,980.0000000000001,inf,inf,inf
55,06MAGNA,PLN,0.43,0.45,0.43,0.45,13.84,08-01-2018,2018/Q1,13921975.0,1.84,8268.0,2022.0,6663.0,0.28,0.16,-0.09,0.25,0.9,-2.76,-9.09,-5.0,0.24456521739130435,5.1813471502590674e-05,1.607142857142857,2.8125,-79.16666666666667,-80.27522935779817,-79.54545454545455,-80.0
56,06MAGNA,PLN,1.75,1.83,1.75,1.83,0.25,08-01-2016,2016/Q1,13921975.0,2.01,15376.0,2000.0,3400.0,0.44,0.11,0.1,4.07,9.31,38.85,24.46,18.3,0.91044776119403,0.0003388888888888889,4.159090909090909,16.636363636363637,306.66666666666663,306.9767441860465,306.66666666666663,306.9767441860465
57,06MAGNA,PLN,0.7,0.72,0.69,0.7,101.92,05-01-2017,2017/Q1,13921975.0,1.64,7597.0,2020.0,5762.0,0.04,-1.88,-0.28,0.62,17.37,-2.21,-2.64,-2.4999999999999996,0.4268292682926829,8.995116936520175e-05,17.5,-0.3723404255319149,-61.74863387978142,-60.00000000000001,-60.65573770491803,-60.57142857142858
58,06MAGNA,PLN,1.09,1.1,1.07,1.09,230.67,08-01-2010,2010/Q1,8673714.0,5.18,23043.0,9299.0,57690.0,18.69,-0.64,-0.08,14.46,0.77,-173.0,10.82,-13.625,0.21042471042471045,1.627132812849871e-05,0.05831995719636169,-1.703125,55.71428571428574,55.71428571428574,52.77777777777779,55.072463768115966
59,06MAGNA,PLN,0.81,0.81,0.8,0.81,118.1,10-01-2011,2011/Q1,8673714.0,2.48,53890.0,10116.0,66584.0,10.36,-2.87,-3.78,12.45,1.2,-3.29,-4.55,-0.2142857142857143,0.3266129032258065,1.0560625814863104e-05,0.0781853281853282,-0.28222996515679444,-25.688073394495415,-25.688073394495415,-26.363636363636367,-25.233644859813086
