Ticker,Currency,Open,Max,Min,Close,Volume_in_thousands,Date
DELKO,PLN,9.3000,9.4700,9.3000,9.4600,27.70,04-01-2010
DGA,PLN,4.2000,4.3300,4.1000,4.2900,70.52,04-01-2010
DOMDEV,PLN,44.8900,45.4500,42.2000,45.0000,236.26,04-01-2010
DRAGOWSKI,PLN,2.1300,2.1300,2.1300,2.1300,2.14,04-01-2010
DREWEX,PLN,2.5500,2.7000,2.3400,2.4800,291.82,04-01-2010
DROP,PLN,25.3100,28.7000,25.3100,27.7600,738.43,04-01-2010
DROZAPOL,PLN,1.8600,1.9100,1.8600,1.9000,119.76,04-01-2010
DUDA,PLN,1.2800,1.3000,1.2800,1.2900,1 072.89,04-01-2010
DZPOLSKA,PLN,0.0000,0.0000,0.0000,27.7800,0.00,04-01-2010
ECARD,PLN,0.6500,0.6900,0.6400,0.6900,60.94,04-01-2010
ECHO,PLN,4.1600,4.2600,4.1600,4.2400,247.55,04-01-2010
EFEKT,PLN,15.0000,15.0000,15.0000,15.0000,0.15,04-01-2010
EFH,PLN,1.3700,1.4100,1.3400,1.3400,184.77,04-01-2010
ELBUDOWA,PLN,162.0000,169.5000,162.0000,169.5000,82.81,04-01-2010
ELEKTROTI,PLN,12.9700,12.9700,12.7000,12.8000,10.77,04-01-2010
ELKOP,PLN,0.0200,0.0200,0.0100,0.0100,48.19,04-01-2010
ELSTAROIL,PLN,8.9000,8.9000,8.5400,8.8900,439.47,04-01-2010
ELZAB,PLN,2.6000,2.6000,2.5900,2.5900,15.41,04-01-2010
EMCINSMED,PLN,24.0300,24.5000,24.0000,24.5000,808.85,04-01-2010
EMPERIA,PLN,81.5000,84.9500,81.5000,84.5000,6 504.04,04-01-2010
ENAP,PLN,1.5600,1.6700,1.5300,1.6700,168.14,04-01-2010
ENEA,PLN,21.5000,21.5100,21.0000,21.3000,1 545.28,04-01-2010
ENERGOINS,PLN,6.3000,6.8700,6.0000,6.6700,303.66,04-01-2010
ENERGOPLD,PLN,4.3000,4.5500,4.2600,4.5100,846.29,04-01-2010
ENERGOPN,PLN,13.2000,13.5000,13.1000,13.4500,57.48,04-01-2010
ENERGOPOL,PLN,5.9000,5.9000,5.8200,5.9000,62.25,04-01-2010
ERBUD,PLN,47.7000,48.0000,47.6900,47.6900,395.41,04-01-2010
ERG,PLN,1.5300,1.5500,1.5000,1.5500,289.16,04-01-2010
ERGIS,PLN,3.9800,4.2500,3.9000,4.2200,650.18,04-01-2010
ESSYSTEM,PLN,4.4200,4.6200,4.4200,4.6200,21.26,04-01-2010
EUROCASH,PLN,15.6100,15.7900,15.6100,15.7900,326.87,04-01-2010
EUROFAKTR,PLN,7.3000,7.3000,6.9700,7.2100,15.07,04-01-2010
EUROMARK,PLN,1.9000,1.9000,1.8800,1.8900,20.45,04-01-2010
EUROTEL,PLN,15.0000,15.0000,14.3000,14.3000,9.26,04-01-2010
FAM,PLN,2.1800,2.2200,2.1400,2.2000,243.15,04-01-2010
FAMUR,PLN,2.1600,2.3100,2.1600,2.2800,1 718.08,04-01-2010
FARMACOL,PLN,37.7000,39.4400,37.7000,39.4400,1 718.48,04-01-2010
PAMAPOL,PLN,4.9100,5.0300,4.8200,4.9900,96.35,04-01-2010
PANOVA,PLN,23.1000,23.1000,22.2000,22.5000,244.01,04-01-2010
PATENTUS,PLN,2.3800,2.3800,2.3700,2.3700,11.38,04-01-2010
PBG,PLN,206.1000,210.9000,206.1000,209.8000,4 695.89,04-01-2010
PCGUARD,PLN,1.8700,1.9000,1.8700,1.9000,275.85,04-01-2010
PLASTBOX,PLN,18.5900,18.5900,18.1400,18.4000,187.63,04-01-2010
PLAZACNTR,PLN,6.6600,6.8700,6.6400,6.8700,24.20,04-01-2010
POINTGROUP,PLN,1.9900,2.0200,1.9500,1.9900,260.94,04-01-2010
POLAQUA,PLN,17.9400,18.6400,17.8900,18.4500,1 218.15,04-01-2010
POLCOLORIT,PLN,0.4700,0.4900,0.4700,0.4900,153.90,04-01-2010
POLNA,PLN,12.2000,12.4000,12.0000,12.0500,30.70,04-01-2010
POLNORD,PLN,35.1200,35.7500,34.9900,35.6000,4 606.50,04-01-2010
POLREST,PLN,1.6600,1.7000,1.6000,1.6100,272.02,04-01-2010
PONAR,PLN,1.8100,1.8300,1.7800,1.8300,167.31,04-01-2010
POZBUD,PLN,4.9900,4.9900,4.8200,4.8200,12.91,04-01-2010
PWRMEDIA,PLN,1.6700,1.6700,1.6000,1.6600,7.68,04-01-2010
QUANTUM,PLN,8.9100,8.9100,8.9100,8.9100,0.37,04-01-2010
QUMAKSEK,PLN,12.2500,12.6000,12.2500,12.4000,268.25,04-01-2010
RADPOL,PLN,6.0500,6.4800,6.0500,6.4800,277.57,04-01-2010
RAFAKO,PLN,10.0000,10.1500,9.9700,10.0500,456.24,04-01-2010
RUBICON,PLN,0.6900,0.7000,0.6800,0.7000,272.36,04-01-2010
RUCH,PLN,7.9400,8.2000,7.7400,8.2000,621.03,04-01-2010
SANOK,PLN,10.0300,10.1900,10.0200,10.1800,740.05,04-01-2010
SANWIL,PLN,0.0400,0.0400,0.0400,0.0400,44.01,04-01-2010
SIMPLE,PLN,6.2000,6.2000,6.1000,6.1000,2.37,04-01-2010
SKOK,PLN,6.3500,6.8500,6.3500,6.8500,116.98,04-01-2010
SKOTAN,PLN,2.1400,2.1600,2.1200,2.1600,2 011.65,04-01-2010
SKYEUROPE,PLN,0.1600,0.1700,0.1600,0.1700,22.05,04-01-2010
SKYLINE,PLN,3.3500,3.5000,3.3500,3.4900,188.89,04-01-2010
STALPROD,PLN,588.0000,595.0000,581.0000,590.0000,1 903.95,04-01-2010
STALPROFI,PLN,12.6000,12.8500,12.6000,12.8500,42.42,04-01-2010
STAPORKOW,PLN,12.8500,13.2000,12.5000,12.7500,221.41,04-01-2010
SUWARY,PLN,44.2100,44.5000,44.2000,44.2000,11.97,04-01-2010
SWARZEDZ,PLN,0.0900,0.1000,0.0900,0.1000,13.27,04-01-2010
TALEX,PLN,11.3700,11.3700,10.9200,10.9200,6.04,04-01-2010
TECHMEX,PLN,1.4800,1.5600,1.4500,1.5100,1 118.62,04-01-2010
TELL,PLN,10.5600,10.8700,10.5600,10.8000,119.46,04-01-2010
TERESA,PLN,14.4800,14.4800,13.6400,14.1000,17.82,04-01-2010
TETA,PLN,10.3500,10.3500,10.3500,10.3500,6.02,04-01-2010
TVN,PLN,14.4000,15.0400,14.2000,14.9000,24 610.23,04-01-2010
ULMA,PLN,86.0000,88.0000,85.1000,85.1000,252.55,04-01-2010
UNIBEP,PLN,5.7300,5.7300,5.5400,5.5400,19.33,04-01-2010
UNICREDIT,PLN,9.5200,9.7500,9.5200,9.7500,188.02,04-01-2010
UNIMA,PLN,5.2300,5.2400,5.1600,5.2000,30.01,04-01-2010
WARFAMA,PLN,1.6500,1.6700,1.6100,1.6700,87.03,04-01-2010
WARIMPEX,PLN,8.9600,8.9600,8.9000,8.9000,81.24,04-01-2010
WASKO,PLN,1.4000,1.4200,1.3800,1.4000,120.68,04-01-2010
WAWEL,PLN,250.0000,250.0000,250.0000,250.0000,37.00,04-01-2010
WIELTON,PLN,4.0000,4.0100,3.9000,4.0000,4 968.62,04-01-2010
WOLAINFO,PLN,4.0500,4.0500,4.0000,4.0000,4.38,04-01-2010
WSIP,PLN,16.8900,16.8900,16.4100,16.6000,48.29,04-01-2010
YAWAL,PLN,17.1000,17.1000,16.6100,16.9700,10.85,04-01-2010
ZASTAL,PLN,2.4000,2.6000,2.3200,2.6000,1 995.79,04-01-2010
ZEG,PLN,35.0000,35.0000,35.0000,35.0000,2.31,04-01-2010
ZYWIEC,PLN,480.0000,485.0000,480.0000,484.0000,28.07,04-01-2010
